,Unnamed: 0,Metadata,Sex,Cell Type,Time Point,Tissue,Ontology,GO.ID,Term,Annotated,Significant,Expected,Fisher
15,16,L2_3_IT_M_E18_WB_CC,M,L2_3_IT,E18,WB,CC,GO:0098685,Schaffer collateral - CA1 synapse,80,12,3.05,4.7e-05
16,17,L2_3_IT_M_E18_WB_CC,M,L2_3_IT,E18,WB,CC,GO:0043209,myelin sheath,199,20,7.58,7.4e-05
17,18,L2_3_IT_M_E18_WB_CC,M,L2_3_IT,E18,WB,CC,GO:0000786,nucleosome,14,5,0.53,0.00012
18,19,L2_3_IT_M_E18_WB_CC,M,L2_3_IT,E18,WB,CC,GO:0043197,dendritic spine,192,19,7.31,0.00014
19,20,L2_3_IT_M_E18_WB_CC,M,L2_3_IT,E18,WB,CC,GO:1902711,GABA-A receptor complex,15,5,0.57,0.00017
0,1,L2_3_IT_M_E18_WB_MF,M,L2_3_IT,E18,WB,MF,GO:0003735,structural constituent of ribosome,156,28,5.95,6.4e-12
1,2,L2_3_IT_M_E18_WB_MF,M,L2_3_IT,E18,WB,MF,GO:1904315,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,42,9,1.6,2.3e-05
2,3,L2_3_IT_M_E18_WB_MF,M,L2_3_IT,E18,WB,MF,GO:0022851,GABA-gated chloride ion channel activity,12,5,0.46,5e-05
3,4,L2_3_IT_M_E18_WB_MF,M,L2_3_IT,E18,WB,MF,GO:1990948,ubiquitin ligase inhibitor activity,8,4,0.31,0.00013
4,5,L2_3_IT_M_E18_WB_MF,M,L2_3_IT,E18,WB,MF,GO:0005237,inhibitory extracellular ligand-gated ion channel activity,15,5,0.57,0.00017
5,6,L2_3_IT_M_E18_WB_MF,M,L2_3_IT,E18,WB,MF,GO:0004890,GABA-A receptor activity,15,5,0.57,0.00017
6,7,L2_3_IT_M_E18_WB_MF,M,L2_3_IT,E18,WB,MF,GO:0030165,PDZ domain binding,106,13,4.04,0.00019
7,8,L2_3_IT_M_E18_WB_MF,M,L2_3_IT,E18,WB,MF,GO:0005244,voltage-gated ion channel activity,155,19,5.91,0.0002
8,9,L2_3_IT_M_E18_WB_MF,M,L2_3_IT,E18,WB,MF,GO:0043395,heparan sulfate proteoglycan binding,16,5,0.61,0.00024
9,10,L2_3_IT_M_E18_WB_MF,M,L2_3_IT,E18,WB,MF,GO:0019843,rRNA binding,72,12,2.75,0.00026
10,11,L2_3_IT_M_E18_WB_MF,M,L2_3_IT,E18,WB,MF,GO:0044325,transmembrane transporter binding,131,14,5.0,0.00048
11,12,L2_3_IT_M_E18_WB_MF,M,L2_3_IT,E18,WB,MF,GO:0017080,sodium channel regulator activity,28,6,1.07,0.00055
12,13,L2_3_IT_M_E18_WB_MF,M,L2_3_IT,E18,WB,MF,GO:0098918,structural constituent of synapse,29,8,1.11,0.00075
13,14,L2_3_IT_M_E18_WB_MF,M,L2_3_IT,E18,WB,MF,GO:0005261,cation channel activity,245,23,9.35,0.00101
14,15,L2_3_IT_M_E18_WB_MF,M,L2_3_IT,E18,WB,MF,GO:0001639,PLC activating G protein-coupled glutamate receptor activity,2,2,0.08,0.00145
15,16,L2_3_IT_M_E18_WB_MF,M,L2_3_IT,E18,WB,MF,GO:0016499,orexin receptor activity,2,2,0.08,0.00145
16,17,L2_3_IT_M_E18_WB_MF,M,L2_3_IT,E18,WB,MF,GO:0004692,cGMP-dependent protein kinase activity,2,2,0.08,0.00145
17,18,L2_3_IT_M_E18_WB_MF,M,L2_3_IT,E18,WB,MF,GO:0005516,calmodulin binding,166,15,6.33,0.00173
18,19,L2_3_IT_M_E18_WB_MF,M,L2_3_IT,E18,WB,MF,GO:0019894,kinesin binding,47,7,1.79,0.00189
19,20,L2_3_IT_M_E18_WB_MF,M,L2_3_IT,E18,WB,MF,GO:0008201,heparin binding,104,11,3.97,0.00203
0,1,L6_M_E18_WB_BP,M,L6,E18,WB,BP,GO:0043524,negative regulation of neuron apoptotic process,172,13,3.18,1.9e-05
1,2,L6_M_E18_WB_BP,M,L6,E18,WB,BP,GO:0010001,glial cell differentiation,230,15,4.25,2.5e-05
2,3,L6_M_E18_WB_BP,M,L6,E18,WB,BP,GO:0045664,regulation of neuron differentiation,209,15,3.86,0.00011
3,4,L6_M_E18_WB_BP,M,L6,E18,WB,BP,GO:0045944,positive regulation of transcription by RNA polymerase II,1014,36,18.74,0.00012
4,5,L6_M_E18_WB_BP,M,L6,E18,WB,BP,GO:0032489,regulation of Cdc42 protein signal transduction,7,3,0.13,0.00021
5,6,L6_M_E18_WB_BP,M,L6,E18,WB,BP,GO:0002181,cytoplasmic translation,90,8,1.66,0.00026
6,7,L6_M_E18_WB_BP,M,L6,E18,WB,BP,GO:0046314,phosphocreatine biosynthetic process,2,2,0.04,0.00034
7,8,L6_M_E18_WB_BP,M,L6,E18,WB,BP,GO:1902340,negative regulation of chromosome condensation,2,2,0.04,0.00034
8,9,L6_M_E18_WB_BP,M,L6,E18,WB,BP,GO:0048485,sympathetic nervous system development,19,4,0.35,0.00036
9,10,L6_M_E18_WB_BP,M,L6,E18,WB,BP,GO:0050769,positive regulation of neurogenesis,276,14,5.1,0.00064
10,11,L6_M_E18_WB_BP,M,L6,E18,WB,BP,GO:0061621,canonical glycolysis,10,3,0.18,0.00068
11,12,L6_M_E18_WB_BP,M,L6,E18,WB,BP,GO:2000288,positive regulation of myoblast proliferation,10,3,0.18,0.00068
12,13,L6_M_E18_WB_BP,M,L6,E18,WB,BP,GO:0000122,negative regulation of transcription by RNA polymerase II,796,28,14.71,0.00082
13,14,L6_M_E18_WB_BP,M,L6,E18,WB,BP,GO:2000173,negative regulation of branching morphogenesis of a nerve,3,2,0.06,0.00101
14,15,L6_M_E18_WB_BP,M,L6,E18,WB,BP,GO:0045105,intermediate filament polymerization or depolymerization,3,2,0.06,0.00101
15,16,L6_M_E18_WB_BP,M,L6,E18,WB,BP,GO:0033693,neurofilament bundle assembly,3,2,0.06,0.00101
16,17,L6_M_E18_WB_BP,M,L6,E18,WB,BP,GO:0002344,B cell affinity maturation,3,2,0.06,0.00101
17,18,L6_M_E18_WB_BP,M,L6,E18,WB,BP,GO:0014043,negative regulation of neuron maturation,3,2,0.06,0.00101
18,19,L6_M_E18_WB_BP,M,L6,E18,WB,BP,GO:0090026,positive regulation of monocyte chemotaxis,12,3,0.22,0.00121
19,20,L6_M_E18_WB_BP,M,L6,E18,WB,BP,GO:0040034,"regulation of development, heterochronic",12,3,0.22,0.00121
0,1,L6_M_E18_WB_CC,M,L6,E18,WB,CC,GO:0022625,cytosolic large ribosomal subunit,52,12,0.96,1.3e-10
1,2,L6_M_E18_WB_CC,M,L6,E18,WB,CC,GO:0022627,cytosolic small ribosomal subunit,45,9,0.83,1.1e-07
2,3,L6_M_E18_WB_CC,M,L6,E18,WB,CC,GO:0043209,myelin sheath,201,15,3.71,4.9e-06
3,4,L6_M_E18_WB_CC,M,L6,E18,WB,CC,GO:0042788,polysomal ribosome,35,6,0.65,3.9e-05
4,5,L6_M_E18_WB_CC,M,L6,E18,WB,CC,GO:0005883,neurofilament,12,4,0.22,5e-05
5,6,L6_M_E18_WB_CC,M,L6,E18,WB,CC,GO:0030426,growth cone,192,12,3.54,0.00024
6,7,L6_M_E18_WB_CC,M,L6,E18,WB,CC,GO:0034362,low-density lipoprotein particle,8,3,0.15,0.00032
7,8,L6_M_E18_WB_CC,M,L6,E18,WB,CC,GO:0030425,dendrite,677,26,12.49,0.00034
8,9,L6_M_E18_WB_CC,M,L6,E18,WB,CC,GO:0099182,presynaptic intermediate filament cytoskeleton,2,2,0.04,0.00034
9,10,L6_M_E18_WB_CC,M,L6,E18,WB,CC,GO:0030424,axon,670,32,12.36,0.00039
10,11,L6_M_E18_WB_CC,M,L6,E18,WB,CC,GO:0043025,neuronal cell body,660,28,12.18,0.00082
11,12,L6_M_E18_WB_CC,M,L6,E18,WB,CC,GO:0034363,intermediate-density lipoprotein particle,3,2,0.06,0.00101
12,13,L6_M_E18_WB_CC,M,L6,E18,WB,CC,GO:0099160,postsynaptic intermediate filament cytoskeleton,3,2,0.06,0.00101
13,14,L6_M_E18_WB_CC,M,L6,E18,WB,CC,GO:0070369,beta-catenin-TCF7L2 complex,3,2,0.06,0.00101
14,15,L6_M_E18_WB_CC,M,L6,E18,WB,CC,GO:0045202,synapse,1210,46,22.33,0.00131
15,16,L6_M_E18_WB_CC,M,L6,E18,WB,CC,GO:0034364,high-density lipoprotein particle,13,3,0.24,0.00155
16,17,L6_M_E18_WB_CC,M,L6,E18,WB,CC,GO:0098984,neuron to neuron synapse,349,17,6.44,0.00193
17,18,L6_M_E18_WB_CC,M,L6,E18,WB,CC,GO:0000786,nucleosome,14,3,0.26,0.00194
18,19,L6_M_E18_WB_CC,M,L6,E18,WB,CC,GO:0005833,hemoglobin complex,6,2,0.11,0.00484
19,20,L6_M_E18_WB_CC,M,L6,E18,WB,CC,GO:0031838,haptoglobin-hemoglobin complex,6,2,0.11,0.00484
0,1,L6_M_E18_WB_MF,M,L6,E18,WB,MF,GO:0003735,structural constituent of ribosome,156,21,2.89,1.1e-12
1,2,L6_M_E18_WB_MF,M,L6,E18,WB,MF,GO:0031492,nucleosomal DNA binding,8,4,0.15,7.6e-06
2,3,L6_M_E18_WB_MF,M,L6,E18,WB,MF,GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,906,34,16.78,6.8e-05
3,4,L6_M_E18_WB_MF,M,L6,E18,WB,MF,GO:0005509,calcium ion binding,481,22,8.91,9.2e-05
4,5,L6_M_E18_WB_MF,M,L6,E18,WB,MF,GO:0070180,large ribosomal subunit rRNA binding,8,3,0.15,0.00033
5,6,L6_M_E18_WB_MF,M,L6,E18,WB,MF,GO:1990948,ubiquitin ligase inhibitor activity,9,3,0.17,0.00049
6,7,L6_M_E18_WB_MF,M,L6,E18,WB,MF,GO:0004111,creatine kinase activity,3,2,0.06,0.00101
7,8,L6_M_E18_WB_MF,M,L6,E18,WB,MF,GO:0005200,structural constituent of cytoskeleton,53,5,0.98,0.00292
8,9,L6_M_E18_WB_MF,M,L6,E18,WB,MF,GO:0043395,heparan sulfate proteoglycan binding,16,3,0.3,0.00294
9,10,L6_M_E18_WB_MF,M,L6,E18,WB,MF,GO:0042834,peptidoglycan binding,5,2,0.09,0.00329
10,11,L6_M_E18_WB_MF,M,L6,E18,WB,MF,GO:0008201,heparin binding,111,7,2.06,0.00458
11,12,L6_M_E18_WB_MF,M,L6,E18,WB,MF,GO:0031720,haptoglobin binding,6,2,0.11,0.00488
12,13,L6_M_E18_WB_MF,M,L6,E18,WB,MF,GO:0000979,RNA polymerase II core promoter sequence-specific DNA binding,19,3,0.35,0.00489
13,14,L6_M_E18_WB_MF,M,L6,E18,WB,MF,GO:0001221,transcription coregulator binding,87,6,1.61,0.00552
14,15,L6_M_E18_WB_MF,M,L6,E18,WB,MF,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",392,15,7.26,0.0065
15,16,L6_M_E18_WB_MF,M,L6,E18,WB,MF,GO:0030628,pre-mRNA 3'-splice site binding,7,2,0.13,0.00675
16,17,L6_M_E18_WB_MF,M,L6,E18,WB,MF,GO:0070324,thyroid hormone binding,7,2,0.13,0.00675
17,18,L6_M_E18_WB_MF,M,L6,E18,WB,MF,GO:0003730,mRNA 3'-UTR binding,93,6,1.72,0.0076
18,19,L6_M_E18_WB_MF,M,L6,E18,WB,MF,GO:0010851,cyclase regulator activity,8,2,0.15,0.00889
19,20,L6_M_E18_WB_MF,M,L6,E18,WB,MF,GO:0035727,lysophosphatidic acid binding,8,2,0.15,0.00889
0,1,Sst_M_E18_WB_BP,M,Sst,E18,WB,BP,GO:0072272,proximal/distal pattern formation involved in metanephric nephron development,2,2,0.02,0.0001
1,2,Sst_M_E18_WB_BP,M,Sst,E18,WB,BP,GO:0035249,"synaptic transmission, glutamatergic",101,6,1.02,0.00057
2,3,Sst_M_E18_WB_BP,M,Sst,E18,WB,BP,GO:0072086,specification of loop of Henle identity,4,2,0.04,0.00061
3,4,Sst_M_E18_WB_BP,M,Sst,E18,WB,BP,GO:0019896,axonal transport of mitochondrion,17,3,0.17,0.00063
4,5,Sst_M_E18_WB_BP,M,Sst,E18,WB,BP,GO:0030182,neuron differentiation,1379,33,13.99,0.00126
5,6,Sst_M_E18_WB_BP,M,Sst,E18,WB,BP,GO:0048485,sympathetic nervous system development,22,3,0.22,0.00137
6,7,Sst_M_E18_WB_BP,M,Sst,E18,WB,BP,GO:0003211,cardiac ventricle formation,6,2,0.06,0.00149
7,8,Sst_M_E18_WB_BP,M,Sst,E18,WB,BP,GO:0001841,neural tube formation,125,6,1.27,0.00172
8,9,Sst_M_E18_WB_BP,M,Sst,E18,WB,BP,GO:0008090,retrograde axonal transport,24,3,0.24,0.00177
9,10,Sst_M_E18_WB_BP,M,Sst,E18,WB,BP,GO:1901798,positive regulation of signal transduction by p53 class mediator,24,3,0.24,0.00177
10,11,Sst_M_E18_WB_BP,M,Sst,E18,WB,BP,GO:0000027,ribosomal large subunit assembly,24,3,0.24,0.00177
11,12,Sst_M_E18_WB_BP,M,Sst,E18,WB,BP,GO:1990048,anterograde neuronal dense core vesicle transport,7,2,0.07,0.00208
12,13,Sst_M_E18_WB_BP,M,Sst,E18,WB,BP,GO:0002840,regulation of T cell mediated immune response to tumor cell,7,2,0.07,0.00208
13,14,Sst_M_E18_WB_BP,M,Sst,E18,WB,BP,GO:0090261,positive regulation of inclusion body assembly,7,2,0.07,0.00208
14,15,Sst_M_E18_WB_BP,M,Sst,E18,WB,BP,GO:0002181,cytoplasmic translation,90,5,0.91,0.00221
15,16,Sst_M_E18_WB_BP,M,Sst,E18,WB,BP,GO:0007406,negative regulation of neuroblast proliferation,8,2,0.08,0.00275
16,17,Sst_M_E18_WB_BP,M,Sst,E18,WB,BP,GO:0055082,cellular chemical homeostasis,646,17,6.55,0.00296
17,18,Sst_M_E18_WB_BP,M,Sst,E18,WB,BP,GO:0016339,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,30,3,0.3,0.0034
18,19,Sst_M_E18_WB_BP,M,Sst,E18,WB,BP,GO:0003357,noradrenergic neuron differentiation,9,2,0.09,0.00351
19,20,Sst_M_E18_WB_BP,M,Sst,E18,WB,BP,GO:0072017,distal tubule development,9,2,0.09,0.00351
0,1,Sst_M_E18_WB_CC,M,Sst,E18,WB,CC,GO:0022627,cytosolic small ribosomal subunit,46,7,0.48,4.5e-07
1,2,Sst_M_E18_WB_CC,M,Sst,E18,WB,CC,GO:0022625,cytosolic large ribosomal subunit,53,6,0.55,1.8e-05
2,3,Sst_M_E18_WB_CC,M,Sst,E18,WB,CC,GO:0043005,neuron projection,1350,33,14.09,2.5e-05
3,4,Sst_M_E18_WB_CC,M,Sst,E18,WB,CC,GO:0043209,myelin sheath,200,10,2.09,4.7e-05
4,5,Sst_M_E18_WB_CC,M,Sst,E18,WB,CC,GO:0045202,synapse,1201,36,12.53,7e-05
5,6,Sst_M_E18_WB_CC,M,Sst,E18,WB,CC,GO:0005615,extracellular space,865,21,9.03,0.00025
6,7,Sst_M_E18_WB_CC,M,Sst,E18,WB,CC,GO:0042788,polysomal ribosome,35,4,0.37,0.00046
7,8,Sst_M_E18_WB_CC,M,Sst,E18,WB,CC,GO:0043025,neuronal cell body,658,17,6.87,0.00051
8,9,Sst_M_E18_WB_CC,M,Sst,E18,WB,CC,GO:0005871,kinesin complex,48,4,0.5,0.00155
9,10,Sst_M_E18_WB_CC,M,Sst,E18,WB,CC,GO:0014069,postsynaptic density,318,10,3.32,0.00186
10,11,Sst_M_E18_WB_CC,M,Sst,E18,WB,CC,GO:0031232,extrinsic component of external side of plasma membrane,7,2,0.07,0.0022
11,12,Sst_M_E18_WB_CC,M,Sst,E18,WB,CC,GO:0005874,microtubule,389,11,4.06,0.00257
12,13,Sst_M_E18_WB_CC,M,Sst,E18,WB,CC,GO:0097440,apical dendrite,29,3,0.3,0.00334
13,14,Sst_M_E18_WB_CC,M,Sst,E18,WB,CC,GO:0098978,glutamatergic synapse,309,9,3.22,0.00516
14,15,Sst_M_E18_WB_CC,M,Sst,E18,WB,CC,GO:0005883,neurofilament,11,2,0.11,0.00559
15,16,Sst_M_E18_WB_CC,M,Sst,E18,WB,CC,GO:0098793,presynapse,457,11,4.77,0.00847
16,17,Sst_M_E18_WB_CC,M,Sst,E18,WB,CC,GO:0070992,translation initiation complex,1,1,0.01,0.01044
17,18,Sst_M_E18_WB_CC,M,Sst,E18,WB,CC,GO:0031475,myosin V complex,1,1,0.01,0.01044
18,19,Sst_M_E18_WB_CC,M,Sst,E18,WB,CC,GO:0033291,eukaryotic 80S initiation complex,1,1,0.01,0.01044
19,20,Sst_M_E18_WB_CC,M,Sst,E18,WB,CC,GO:0150014,apical distal dendrite,1,1,0.01,0.01044
0,1,Sst_M_E18_WB_MF,M,Sst,E18,WB,MF,GO:0003735,structural constituent of ribosome,157,13,1.63,9e-09
1,2,Sst_M_E18_WB_MF,M,Sst,E18,WB,MF,GO:1990948,ubiquitin ligase inhibitor activity,8,3,0.08,5.9e-05
2,3,Sst_M_E18_WB_MF,M,Sst,E18,WB,MF,GO:0016868,"intramolecular transferase activity, phosphotransferases",9,3,0.09,8.8e-05
3,4,Sst_M_E18_WB_MF,M,Sst,E18,WB,MF,GO:0010858,calcium-dependent protein kinase regulator activity,4,2,0.04,0.00063
4,5,Sst_M_E18_WB_MF,M,Sst,E18,WB,MF,GO:0005200,structural constituent of cytoskeleton,53,4,0.55,0.0022
5,6,Sst_M_E18_WB_MF,M,Sst,E18,WB,MF,GO:0001640,adenylate cyclase inhibiting G protein-coupled glutamate receptor activity,8,2,0.08,0.00288
6,7,Sst_M_E18_WB_MF,M,Sst,E18,WB,MF,GO:0005504,fatty acid binding,33,3,0.34,0.00476
7,8,Sst_M_E18_WB_MF,M,Sst,E18,WB,MF,GO:0008201,heparin binding,108,5,1.12,0.00534
8,9,Sst_M_E18_WB_MF,M,Sst,E18,WB,MF,GO:0097371,MDM2/MDM4 family protein binding,11,2,0.11,0.00554
9,10,Sst_M_E18_WB_MF,M,Sst,E18,WB,MF,GO:0016835,carbon-oxygen lyase activity,70,4,0.73,0.00602
10,11,Sst_M_E18_WB_MF,M,Sst,E18,WB,MF,GO:0019843,rRNA binding,71,4,0.74,0.00633
11,12,Sst_M_E18_WB_MF,M,Sst,E18,WB,MF,GO:0097110,scaffold protein binding,78,4,0.81,0.00878
12,13,Sst_M_E18_WB_MF,M,Sst,E18,WB,MF,GO:0008301,"DNA binding, bending",14,2,0.15,0.00897
13,14,Sst_M_E18_WB_MF,M,Sst,E18,WB,MF,GO:0005509,calcium ion binding,467,11,4.85,0.00948
14,15,Sst_M_E18_WB_MF,M,Sst,E18,WB,MF,GO:0004807,triose-phosphate isomerase activity,1,1,0.01,0.01038
15,16,Sst_M_E18_WB_MF,M,Sst,E18,WB,MF,GO:0047933,"glucose-1,6-bisphosphate synthase activity",1,1,0.01,0.01038
16,17,Sst_M_E18_WB_MF,M,Sst,E18,WB,MF,GO:0008973,phosphopentomutase activity,1,1,0.01,0.01038
17,18,Sst_M_E18_WB_MF,M,Sst,E18,WB,MF,GO:0008929,methylglyoxal synthase activity,1,1,0.01,0.01038
18,19,Sst_M_E18_WB_MF,M,Sst,E18,WB,MF,GO:0000401,open form four-way junction DNA binding,1,1,0.01,0.01038
19,20,Sst_M_E18_WB_MF,M,Sst,E18,WB,MF,GO:0000402,crossed form four-way junction DNA binding,1,1,0.01,0.01038
0,1,L5_M_E18_WB_BP,M,L5,E18,WB,BP,GO:0002181,cytoplasmic translation,91,23,3.57,5.1e-13
1,2,L5_M_E18_WB_BP,M,L5,E18,WB,BP,GO:0072086,specification of loop of Henle identity,4,4,0.16,2.3e-06
2,3,L5_M_E18_WB_BP,M,L5,E18,WB,BP,GO:0048485,sympathetic nervous system development,21,7,0.82,9.9e-06
3,4,L5_M_E18_WB_BP,M,L5,E18,WB,BP,GO:0048488,synaptic vesicle endocytosis,65,14,2.55,1.8e-05
4,5,L5_M_E18_WB_BP,M,L5,E18,WB,BP,GO:0061621,canonical glycolysis,10,5,0.39,2e-05
5,6,L5_M_E18_WB_BP,M,L5,E18,WB,BP,GO:2000173,negative regulation of branching morphogenesis of a nerve,3,3,0.12,6e-05
6,7,L5_M_E18_WB_BP,M,L5,E18,WB,BP,GO:0050885,neuromuscular process controlling balance,68,11,2.67,6.2e-05
7,8,L5_M_E18_WB_BP,M,L5,E18,WB,BP,GO:0000028,ribosomal small subunit assembly,19,6,0.75,6.2e-05
8,9,L5_M_E18_WB_BP,M,L5,E18,WB,BP,GO:0051932,"synaptic transmission, GABAergic",57,10,2.24,6.5e-05
9,10,L5_M_E18_WB_BP,M,L5,E18,WB,BP,GO:0002072,optic cup morphogenesis involved in camera-type eye development,7,4,0.27,7.5e-05
10,11,L5_M_E18_WB_BP,M,L5,E18,WB,BP,GO:0010976,positive regulation of neuron projection development,211,21,8.28,8.7e-05
11,12,L5_M_E18_WB_BP,M,L5,E18,WB,BP,GO:0061178,regulation of insulin secretion involved in cellular response to glucose stimulus,71,11,2.78,9.3e-05
12,13,L5_M_E18_WB_BP,M,L5,E18,WB,BP,GO:0045665,negative regulation of neuron differentiation,86,12,3.37,0.00013
13,14,L5_M_E18_WB_BP,M,L5,E18,WB,BP,GO:0021537,telencephalon development,234,22,9.18,0.00014
14,15,L5_M_E18_WB_BP,M,L5,E18,WB,BP,GO:0008089,anterograde axonal transport,51,9,2.0,0.00014
15,16,L5_M_E18_WB_BP,M,L5,E18,WB,BP,GO:0071257,cellular response to electrical stimulus,8,4,0.31,0.00014
16,17,L5_M_E18_WB_BP,M,L5,E18,WB,BP,GO:0007268,chemical synaptic transmission,666,71,26.12,0.00014
17,18,L5_M_E18_WB_BP,M,L5,E18,WB,BP,GO:0010996,response to auditory stimulus,22,6,0.86,0.00015
18,19,L5_M_E18_WB_BP,M,L5,E18,WB,BP,GO:0045666,positive regulation of neuron differentiation,105,13,4.12,0.00023
19,20,L5_M_E18_WB_BP,M,L5,E18,WB,BP,GO:0051343,positive regulation of cyclic-nucleotide phosphodiesterase activity,4,3,0.16,0.00023
0,1,L5_M_E18_WB_CC,M,L5,E18,WB,CC,GO:0022625,cytosolic large ribosomal subunit,53,30,2.08,8.8e-29
1,2,L5_M_E18_WB_CC,M,L5,E18,WB,CC,GO:0022627,cytosolic small ribosomal subunit,45,24,1.77,2e-22
